iter	Logloss
0	0.6019218651
1	0.5268875809
2	0.4681890375
3	0.4174419621
4	0.3760494529
5	0.3435981895
6	0.3154508051
7	0.2920142088
8	0.2726387885
9	0.2563691301
10	0.2427331628
11	0.2309556371
12	0.2206820474
13	0.2116808693
14	0.2040360051
15	0.1972733395
16	0.1909405463
17	0.1853635031
18	0.1804584785
19	0.1758095568
20	0.1714978997
21	0.1669807277
22	0.1639677263
23	0.1611090522
24	0.1583442359
25	0.1557052585
26	0.1534094348
27	0.1513049083
28	0.1488208842
29	0.1472257135
30	0.1450596444
31	0.1430967737
32	0.1415723979
33	0.1400443518
34	0.138615847
35	0.1373621507
36	0.1363161489
37	0.134796029
38	0.133701001
39	0.1326487255
40	0.1316121096
41	0.1307144855
42	0.1294077974
43	0.1284993877
44	0.1277709946
45	0.1269776943
46	0.1262540167
47	0.1255402823
48	0.1245269085
49	0.123524874
50	0.1228878196
51	0.121926138
52	0.1206643398
53	0.1197853452
54	0.1192994523
55	0.1186897817
56	0.1176762726
57	0.1171126752
58	0.1164559152
59	0.1159757687
60	0.1153756216
61	0.1148276524
62	0.1141763388
63	0.113608262
64	0.1131367219
65	0.1127282024
66	0.1122142842
67	0.1117731739
68	0.1111537042
69	0.1105826423
70	0.1097094958
71	0.1090172868
72	0.1086318356
73	0.1082337617
74	0.1077523517
75	0.1074441939
76	0.1070527592
77	0.1067656864
78	0.1063159324
79	0.1058219317
80	0.1053539848
81	0.1050181073
82	0.1044260902
83	0.1040075229
84	0.1037081364
85	0.1033879344
86	0.1028136467
87	0.1019800111
88	0.1016925701
89	0.1012947679
90	0.1009373478
91	0.1006797417
92	0.1004496267
93	0.1000699157
94	0.09951707259
95	0.09903670004
96	0.09882034217
97	0.0984086278
98	0.09809336588
99	0.09788146771
100	0.0976285984
101	0.09739108501
102	0.09708447453
103	0.09652280734
104	0.09604402483
105	0.09580826974
106	0.09553777584
107	0.09527572126
108	0.09502753451
109	0.09450430287
110	0.09430919422
111	0.09411704742
112	0.09392349492
113	0.09369725004
114	0.09347140296
115	0.09302435812
116	0.09283096163
117	0.0926751167
118	0.09238149626
119	0.09217989254
120	0.09201173513
121	0.09168564529
122	0.09153173488
123	0.09129381595
124	0.09103782856
125	0.09085280913
126	0.09064490486
127	0.09052669703
128	0.09032572656
129	0.09017417584
130	0.08995267369
131	0.08977191248
132	0.08961547742
133	0.08947180428
134	0.08931683046
135	0.08901342844
136	0.0885021245
137	0.08802846532
138	0.08787164745
139	0.08766893139
140	0.08740410093
141	0.08722602078
142	0.08704331556
143	0.08685621714
144	0.08672840183
145	0.08654922406
146	0.08638022758
147	0.08622609217
148	0.08609014928
149	0.08586445622
150	0.08567213688
151	0.08558752836
152	0.08540158595
153	0.08514981726
154	0.08497600994
155	0.08485971383
156	0.08448096042
157	0.08439343502
158	0.08409886916
159	0.08385610594
160	0.08366094343
161	0.083293987
162	0.08320510889
163	0.08298297011
164	0.08283116805
165	0.08261871827
166	0.08252101747
167	0.08227144562
168	0.08214828684
169	0.08204103437
170	0.08189985044
171	0.08182397189
172	0.08158777595
173	0.08124316732
174	0.08095978535
175	0.08088727193
176	0.08068257149
177	0.08061005637
178	0.08050868574
179	0.08034869308
180	0.08008751813
181	0.07999202325
182	0.07983721381
183	0.07977217604
184	0.07944625729
185	0.07932986211
186	0.0792645243
187	0.07905307563
188	0.07891678445
189	0.07874991917
190	0.07861389405
191	0.07848408143
192	0.07841541884
193	0.07824717234
194	0.07802404779
195	0.07795640844
196	0.07789517275
197	0.077838132
198	0.07771800331
199	0.07761364654
200	0.07753150944
201	0.07739183076
202	0.07733995867
203	0.07716079823
204	0.07709986856
205	0.076786956
206	0.07657501719
207	0.07652267169
208	0.0764652821
209	0.07635736693
210	0.07612885344
211	0.07599781478
212	0.07584024578
213	0.07574232521
214	0.07560486424
215	0.07548391416
216	0.07542596301
217	0.07536031985
