iter	Passed	Remaining
0	216	215881
1	358	178861
2	501	166772
3	643	160136
4	786	156476
5	927	153673
6	1070	151856
7	1212	150304
8	1361	149918
9	1502	148783
10	1645	147946
11	1784	146918
12	1925	146213
13	2066	145507
14	2207	144972
15	2348	144411
16	2490	144032
17	2630	143482
18	2770	143045
19	2911	142675
20	3054	142398
21	3193	141980
22	3337	141765
23	3477	141424
24	3619	141158
25	3758	140785
26	3901	140586
27	4041	140290
28	4184	140102
29	4323	139807
30	4466	139610
31	4605	139305
32	4745	139069
33	4888	138878
34	5029	138675
35	5167	138368
36	5309	138181
37	5450	137973
38	5591	137780
39	5731	137544
40	5871	137337
41	6011	137115
42	6153	136953
43	6292	136714
44	6434	136551
45	6573	136332
46	6714	136141
47	6854	135956
48	7010	136063
49	7161	136069
50	7311	136044
51	7459	136000
52	7612	136020
53	7760	135948
54	7904	135807
55	8042	135572
56	8183	135392
57	8323	135183
58	8465	135011
59	8604	134802
60	8746	134645
61	8887	134455
62	9029	134301
63	9166	134067
64	9307	133886
65	9447	133689
66	9589	133530
67	9727	133319
68	9868	133147
69	10007	132961
70	10163	132984
71	10311	132906
72	10461	132846
73	10606	132729
74	10750	132592
75	10895	132460
76	11046	132410
77	11193	132313
78	11341	132217
79	11482	132054
80	11626	131907
81	11764	131706
82	11906	131539
83	12044	131345
84	12186	131188
85	12325	130998
86	12466	130826
87	12605	130635
88	12745	130462
89	12884	130272
90	13025	130108
91	13162	129912
92	13302	129734
93	13441	129548
94	13581	129386
95	13722	129224
96	13862	129052
97	14001	128867
98	14141	128702
99	14279	128513
100	14420	128354
101	14558	128175
102	14700	128023
103	14840	127852
104	14982	127709
105	15120	127521
106	15260	127358
107	15398	127178
108	15539	127021
109	15679	126861
110	15819	126696
111	15956	126510
112	16096	126350
113	16236	126185
114	16374	126015
115	16514	125850
116	16652	125674
117	16789	125490
118	16927	125320
119	17064	125142
120	17204	124978
121	17342	124807
122	17483	124658
123	17622	124494
124	17773	124414
125	17920	124308
126	18067	124198
127	18208	124042
128	18348	123887
129	18489	123739
130	18647	123698
131	18807	123675
132	18955	123564
133	19096	123416
134	19241	123286
135	19383	123144
136	19531	123034
137	19673	122888
138	19815	122742
139	19957	122599
140	20098	122446
141	20237	122279
142	20378	122125
143	20517	121964
144	20658	121811
145	20795	121639
146	20935	121480
147	21073	121317
148	21212	121156
149	21352	120997
150	21498	120873
151	21645	120756
152	21793	120646
153	21941	120533
154	22086	120408
155	22233	120290
156	22394	120243
157	22539	120116
158	22685	119992
159	22830	119858
160	22972	119711
161	23113	119563
162	23253	119406
