iter	Passed	Remaining
439	1366	1739
440	1369	1735
441	1372	1732
442	1375	1729
443	1378	1726
444	1381	1723
445	1384	1720
446	1387	1716
447	1391	1713
448	1394	1710
449	1397	1708
450	1400	1704
451	1403	1701
452	1406	1698
453	1410	1695
454	1413	1692
455	1416	1690
456	1419	1687
457	1423	1684
458	1427	1682
459	1430	1679
460	1433	1676
461	1436	1672
462	1439	1669
463	1442	1666
464	1445	1663
465	1448	1660
466	1451	1657
467	1454	1653
468	1458	1650
469	1460	1647
470	1463	1644
471	1466	1640
472	1469	1637
473	1472	1634
474	1475	1630
475	1478	1627
476	1480	1623
477	1484	1621
478	1487	1617
479	1490	1614
480	1493	1611
481	1496	1608
482	1499	1605
483	1503	1602
484	1506	1599
485	1509	1596
486	1514	1594
487	1517	1591
488	1520	1589
489	1524	1586
490	1527	1583
491	1530	1580
492	1534	1577
493	1537	1575
494	1541	1572
495	1544	1569
496	1547	1566
497	1550	1563
498	1554	1560
499	1557	1557
500	1560	1554
501	1563	1551
502	1567	1548
503	1570	1545
504	1573	1542
505	1577	1540
506	1581	1537
507	1585	1535
508	1588	1532
509	1592	1530
510	1596	1527
511	1599	1524
512	1602	1521
513	1606	1518
514	1609	1515
515	1612	1512
516	1615	1509
517	1618	1506
518	1621	1503
519	1625	1500
520	1628	1497
521	1631	1494
522	1635	1491
523	1638	1488
524	1641	1485
525	1645	1482
526	1648	1479
527	1652	1477
528	1655	1474
529	1661	1473
530	1665	1470
531	1668	1467
532	1671	1464
533	1675	1462
534	1679	1459
535	1682	1456
536	1686	1453
537	1689	1450
538	1692	1447
539	1696	1445
540	1699	1442
541	1703	1439
542	1706	1436
543	1710	1433
544	1713	1430
545	1716	1427
546	1719	1424
547	1723	1421
548	1726	1418
549	1730	1415
550	1733	1412
551	1736	1409
552	1740	1406
553	1743	1403
554	1747	1400
555	1750	1398
556	1754	1395
557	1758	1392
558	1761	1390
559	1766	1387
560	1769	1384
561	1772	1381
562	1775	1378
563	1778	1375
564	1782	1372
565	1786	1369
566	1789	1366
567	1792	1363
568	1795	1360
569	1799	1357
570	1802	1354
571	1806	1351
572	1809	1348
573	1813	1345
574	1816	1342
575	1819	1339
576	1822	1336
577	1826	1333
578	1829	1330
579	1832	1327
580	1836	1324
581	1841	1322
582	1844	1319
583	1847	1316
584	1850	1312
585	1853	1309
586	1857	1306
587	1860	1303
588	1863	1300
589	1867	1297
590	1870	1294
591	1874	1291
592	1877	1288
593	1880	1285
594	1884	1282
595	1887	1279
596	1891	1276
597	1895	1274
598	1898	1271
599	1902	1268
600	1905	1265
601	1908	1261
602	1912	1258
603	1915	1255
604	1919	1253
605	1922	1250
606	1926	1247
607	1930	1244
608	1934	1241
609	1937	1238
610	1941	1235
611	1944	1233
612	1948	1229
613	1951	1227
614	1954	1223
615	1957	1220
616	1961	1217
617	1964	1214
618	1968	1211
619	1971	1208
620	1974	1205
621	1978	1202
622	1981	1199
623	1985	1196
624	1988	1193
625	1992	1190
626	1995	1187
627	1999	1184
628	2002	1181
629	2005	1178
630	2009	1175
631	2012	1171
632	2015	1168
633	2019	1165
634	2022	1162
635	2025	1159
636	2028	1156
637	2031	1152
638	2035	1149
639	2038	1146
640	2042	1143
641	2045	1140
642	2049	1137
643	2053	1134
644	2056	1131
645	2060	1129
646	2063	1125
647	2067	1123
648	2070	1119
649	2074	1117
650	2078	1114
651	2081	1111
652	2085	1108
653	2088	1104
654	2092	1102
655	2096	1099
656	2099	1096
657	2103	1093
658	2106	1090
659	2110	1087
660	2113	1083
661	2117	1081
662	2121	1078
663	2124	1075
664	2128	1072
665	2132	1069
666	2136	1066
667	2139	1063
668	2143	1060
669	2146	1057
670	2150	1054
671	2153	1051
672	2156	1047
673	2160	1044
674	2163	1041
675	2167	1038
676	2171	1035
677	2174	1032
678	2177	1029
679	2181	1026
680	2185	1023
681	2189	1020
682	2192	1017
683	2195	1014
684	2199	1011
685	2202	1008
686	2205	1005
687	2209	1001
688	2212	998
689	2216	995
690	2220	992
691	2223	989
692	2226	986
693	2230	983
694	2233	980
695	2237	977
696	2240	974
697	2244	970
698	2247	967
699	2250	964
700	2253	961
701	2256	958
702	2260	954
703	2263	951
704	2267	948
705	2270	945
706	2274	942
707	2277	939
708	2280	936
709	2283	932
710	2286	929
711	2290	926
712	2293	923
713	2297	920
714	2300	917
715	2303	913
716	2307	910
717	2310	907
718	2313	904
719	2316	900
720	2320	897
721	2323	894
722	2326	891
723	2330	888
724	2333	885
725	2336	881
726	2340	878
727	2343	875
728	2347	872
729	2351	869
730	2354	866
731	2357	863
732	2360	859
733	2363	856
734	2367	853
735	2370	850
736	2373	847
737	2377	843
738	2381	840
739	2384	837
740	2388	834
741	2391	831
742	2395	828
743	2399	825
744	2402	822
745	2405	819
746	2409	815
747	2412	812
748	2416	809
749	2419	806
750	2422	803
751	2426	800
752	2429	796
753	2432	793
754	2435	790
755	2438	787
756	2441	783
757	2445	780
758	2448	777
759	2451	774
760	2455	771
761	2458	767
762	2461	764
763	2464	761
764	2468	758
765	2471	754
766	2474	751
767	2478	748
768	2481	745
769	2484	742
770	2488	738
771	2491	735
772	2495	732
773	2498	729
774	2501	726
775	2504	723
776	2507	719
777	2511	716
778	2514	713
779	2517	710
780	2521	707
781	2525	704
782	2529	700
783	2532	697
784	2535	694
785	2538	691
786	2542	688
787	2545	684
788	2548	681
789	2551	678
790	2555	675
791	2559	672
792	2563	669
793	2566	665
794	2569	662
795	2572	659
796	2575	656
797	2579	652
798	2583	649
799	2586	646
800	2589	643
801	2592	640
802	2596	636
803	2599	633
804	2603	630
805	2606	627
806	2609	624
807	2613	620
808	2616	617
809	2619	614
810	2622	611
811	2626	608
812	2629	604
813	2633	601
814	2636	598
815	2639	595
816	2643	592
817	2646	588
818	2650	585
819	2653	582
820	2656	579
821	2660	576
822	2663	572
823	2667	569
824	2670	566
825	2674	563
826	2677	560
827	2681	556
828	2684	553
829	2687	550
830	2690	547
831	2693	543
832	2697	540
833	2700	537
834	2704	534
835	2707	531
836	2711	527
837	2714	524
838	2717	521
839	2721	518
840	2724	515
841	2727	511
842	2731	508
843	2734	505
844	2737	502
845	2741	498
846	2744	495
847	2747	492
848	2750	489
849	2754	486
850	2757	482
851	2761	479
852	2764	476
853	2768	473
854	2771	470
855	2774	466
856	2778	463
857	2782	460
858	2786	457
859	2789	454
860	2792	450
861	2796	447
862	2799	444
863	2802	441
864	2806	437
865	2809	434
866	2812	431
867	2815	428
868	2819	425
869	2823	421
870	2827	418
871	2830	415
872	2833	412
873	2837	409
874	2840	405
875	2843	402
876	2847	399
877	2850	396
878	2854	392
879	2857	389
880	2861	386
881	2864	383
882	2867	379
883	2871	376
884	2874	373
885	2877	370
886	2880	367
887	2883	363
888	2887	360
889	2890	357
890	2893	354
891	2897	350
892	2900	347
893	2905	344
894	2908	341
895	2911	337
896	2914	334
897	2918	331
898	2922	328
899	2925	325
900	2928	321
901	2931	318
902	2935	315
903	2938	312
904	2942	308
905	2945	305
906	2948	302
907	2952	299
908	2956	295
909	2959	292
910	2962	289
911	2965	286
912	2969	282
913	2972	279
914	2976	276
915	2979	273
916	2982	269
