iter	RMSE
132	2625596.646
133	2620528.92
134	2619911.321
135	2618280.4
136	2613463.643
137	2611647.819
138	2610758.902
139	2608900.216
140	2608044.115
141	2607387.493
142	2606635.983
143	2606081.302
144	2605178.602
145	2603629.439
146	2603200.401
147	2602599.245
148	2601529.859
149	2600195.316
150	2599207.834
151	2597710.193
152	2594989.731
153	2593891.744
154	2591738.579
155	2590751.767
156	2589789.667
157	2588772.698
158	2587616.04
159	2585781.861
160	2584175.985
161	2583373.052
162	2582640.336
163	2581461.585
164	2579974.984
165	2576327.611
166	2575274.528
167	2574797.968
168	2573056.982
169	2572047.036
170	2571135.512
171	2570615.597
172	2569811.394
173	2569262.769
174	2565202.102
175	2564057.362
176	2563326.295
177	2561919.145
178	2561239.37
179	2560573.06
180	2559415.273
181	2558897.797
182	2557410.826
183	2554274.671
184	2553622.214
185	2552554.872
186	2551852.096
187	2550406.195
188	2549474.637
189	2545233.779
190	2544830.774
191	2544368.354
192	2542882.223
193	2541672.437
194	2540805.377
195	2539429.808
196	2538129.009
197	2537676.716
198	2536106.597
199	2534959.823
200	2533515.384
201	2532520.96
202	2529894.812
203	2528881.195
204	2527498.001
205	2526523.424
206	2526036.537
207	2525182.042
208	2523921.606
209	2522696.845
210	2521742.649
211	2521426.264
212	2520422.507
213	2519985.115
214	2519328.216
215	2518379.449
216	2517610.477
217	2516877.384
218	2516545.096
219	2514303.251
220	2513581.925
221	2512339.754
222	2511621.287
223	2509583.74
224	2508422.509
225	2507298.647
226	2506441.425
227	2505560.006
228	2504851.65
229	2504260.271
230	2503862.495
231	2502246.693
232	2501592.573
233	2500857.295
234	2500577.235
235	2499558.865
236	2496979.098
237	2495360.621
238	2494953.001
239	2493953.441
240	2493271.458
241	2492104.395
242	2489799.287
243	2489399.768
244	2489123.754
245	2488524.971
246	2484506.824
247	2483798.041
248	2483104.478
249	2481706.19
250	2479446.608
251	2479015.205
252	2477962.829
253	2477196.164
254	2476818.277
255	2475289.087
256	2473548.653
257	2472889.918
258	2472154.083
259	2471859.696
260	2471492.686
261	2470131
262	2469490.626
263	2468730.222
264	2468166.467
265	2467909.558
266	2464562.073
267	2463870.133
268	2463240.847
269	2462495.677
270	2459997.135
271	2459748.94
272	2457979.159
273	2455797.526
274	2454705.45
275	2452452.837
276	2452075.821
277	2450207.045
278	2448475.32
279	2447486.788
280	2444443.256
281	2443852.234
282	2443247.359
283	2442687.179
284	2442379.91
285	2441713.754
286	2441423.568
287	2440553.426
288	2438205.203
289	2436472.224
290	2435657.773
291	2433527.869
292	2432892.936
293	2431617.746
294	2429814.095
295	2428609.983
296	2428024.767
297	2427655.558
298	2427342.919
299	2425466.377
300	2424008.146
301	2421835.343
302	2421012.141
303	2420442.675
304	2419569.167
305	2419173.973
306	2418761.539
307	2418527.879
308	2416908.744
309	2416401.305
310	2415751.136
311	2415352.128
312	2414652.556
313	2412921.448
314	2412442.741
315	2411013.273
316	2409456.935
317	2408957.68
318	2408305.334
319	2407463.026
320	2406625.135
321	2405844.49
322	2405253.803
323	2404338.476
324	2402094.056
325	2401733.94
326	2401072.122
327	2400563.744
328	2399834.712
329	2399536.085
330	2398486.498
331	2398184.857
332	2396890.043
333	2396448.464
334	2393965.411
335	2393311.577
336	2392699.199
337	2391936.78
338	2391096.492
339	2390596.87
340	2390008.098
341	2388819.171
342	2388469.344
343	2388120.179
344	2386791.316
345	2385507.339
346	2384222.061
347	2382504.724
348	2380402.469
349	2380070.224
350	2379641.216
351	2378369.255
352	2377367.249
353	2376903.041
354	2376544.788
355	2375529.223
356	2374611.013
357	2374010.038
358	2373075.32
359	2371868.963
360	2371492.574
361	2370754.505
362	2370175.112
363	2369632.717
364	2369364.052
365	2368995.152
366	2368296.081
367	2367956.586
368	2366996.971
369	2366185.16
370	2365484.415
371	2364081.313
372	2363029.212
373	2362575.22
374	2362179.305
375	2361900.119
376	2361144.21
377	2360344.042
378	2360163.915
379	2359244.529
380	2358780.007
381	2358435.796
382	2357905.362
383	2357063.714
384	2356745.246
385	2356097.958
386	2355665.918
387	2354550.458
388	2353995.315
389	2353471.942
390	2353234.059
391	2352281.177
392	2352139.331
393	2351807.752
394	2351406.576
395	2350863.162
396	2350610.725
397	2349996.691
398	2349525.941
399	2348879.089
400	2348373.673
401	2347641.061
402	2347074.941
403	2346480.197
404	2345241.848
405	2344748.597
406	2343664.986
407	2343147.148
408	2342365.592
409	2341665.296
410	2341138.001
411	2340626.479
412	2340105.466
413	2339194.375
414	2338836.183
415	2338569.576
416	2337939.053
417	2337277.047
418	2336644.768
419	2336324.136
420	2336136.238
421	2335788.465
422	2334714.682
423	2333563.414
424	2333033.352
425	2332413.938
426	2331854.707
427	2331414.628
428	2331198.711
429	2330649.734
430	2330330.457
431	2329272.144
432	2328747.797
433	2328330.434
434	2327763.824
435	2327084.262
436	2326501.678
437	2325750.445
438	2324848.025
439	2324598.426
440	2324293.589
441	2322974.937
442	2322484.03
443	2321461.768
444	2320857.543
445	2320485.565
446	2319993.877
447	2319687.35
448	2318887.583
449	2317673.101
450	2317467.201
451	2317040.324
452	2316900.13
453	2316556.841
454	2315965.665
455	2315769.761
456	2315288.185
457	2314773.641
458	2313919.979
459	2313490.49
460	2312868.429
461	2312366.593
462	2311696.36
463	2311044.318
464	2310490.26
465	2310207.175
466	2310013.237
467	2309351.575
468	2309071.409
469	2308911.528
470	2308606.284
471	2308017.129
472	2307800.195
473	2307562.534
474	2307228.576
475	2306864.025
476	2306710.459
477	2305665.751
478	2305285.726
479	2304827.398
480	2304610.063
481	2304357.491
482	2303566.672
483	2303208.184
484	2302440.003
485	2301416.521
486	2301228.542
487	2300908.085
488	2300142.101
489	2299344.896
490	2298960.209
491	2298379.944
492	2298033.78
493	2297026.237
494	2296469.031
495	2296136.32
496	2295929.86
497	2295688.538
498	2294885.442
499	2294658.618
500	2294337.932
501	2293816.193
502	2293054.728
503	2292756.669
504	2291201.454
505	2290702.656
506	2289784.724
507	2289369.735
508	2289043.365
509	2288274.605
510	2287906.528
511	2287691.638
512	2287099.654
513	2286109.467
514	2285642.649
515	2285214.413
516	2285028.762
517	2284309.978
518	2284141.834
519	2283512.422
520	2283139.001
521	2282453.2
522	2281374.005
523	2280729.033
524	2280464.651
525	2279725.77
526	2279088.871
527	2278659.77
528	2278078.654
529	2277321.956
530	2276515.667
531	2276180.329
532	2275503.523
533	2274988.633
534	2274589.903
535	2274142.347
536	2273514.186
537	2273174.092
538	2272817.74
539	2272445.193
540	2271782.638
541	2271620.399
542	2271314.828
543	2270900.974
544	2270751.121
545	2269997.84
546	2269519.817
547	2269060.029
548	2268827.685
549	2268472.484
550	2267959.188
551	2267370.977
552	2266932.097
553	2266695.391
554	2266122.943
555	2265442.141
556	2263354.266
557	2263188.45
558	2262871.577
559	2262273.877
560	2261318.823
561	2261131.148
562	2260648.238
563	2260436.905
564	2259795.546
565	2258815.413
566	2258350.228
567	2258086.878
568	2257769.897
569	2257418.301
570	2257074.217
571	2256834.777
572	2256622.049
573	2256116.027
574	2255983.271
575	2255492.592
576	2255254.46
577	2255033.815
578	2254780.266
579	2254483.467
580	2254344.375
581	2254165.108
582	2253860.089
583	2253063.364
584	2252851.316
585	2252603.575
586	2252434.714
587	2251909.051
588	2251770.098
589	2251627.034
590	2251226.273
591	2251005.927
592	2250657.235
593	2250272.115
594	2250058.967
595	2249386.648
596	2248579.218
597	2247897.794
598	2247661.324
599	2247405.013
600	2247012.066
601	2246857.529
602	2246725.799
603	2246202.765
604	2245597.771
605	2244958.221
606	2244626.745
607	2244156.329
608	2243697.599
609	2243175.964
610	2242809.032
611	2242287.025
612	2241935.94
613	2241446.014
614	2241321.015
615	2240830.429
616	2239514.617
617	2239130.617
618	2238553.173
619	2237757.618
620	2237165.467
621	2236913.933
622	2235339.425
623	2235092.963
624	2234784.001
625	2234606.966
626	2234223.047
627	2233605.581
628	2233448.739
629	2232991.241
630	2232199.531
631	2232071.014
632	2231551.864
633	2231363.34
634	2230803.42
635	2230386.854
636	2230173.104
637	2229960.688
638	2228852.425
639	2228624.325
640	2228183.363
641	2227894.96
642	2227521.529
643	2227057.079
644	2225700.653
645	2224886.651
646	2224055.078
647	2223420.538
648	2222973.455
649	2222488.295
650	2222074.319
651	2221633.778
652	2221310.608
653	2220891.762
654	2220590.652
655	2219901.056
656	2219636.874
657	2219143.884
658	2218573.432
659	2218296.782
660	2217986.749
661	2217726.795
662	2217468.94
663	2217262.874
664	2216632.139
665	2216400.397
666	2215998.733
667	2215634.175
668	2215018.395
669	2214698.929
670	2214313.642
671	2214061.494
672	2213871.509
673	2212583.921
674	2211850.904
675	2211414.018
676	2210995.616
677	2210311.267
678	2209896.258
679	2209695.934
680	2208954.426
681	2208568.811
682	2208183.899
683	2207833.372
684	2207575.383
685	2207361.492
686	2207140.32
687	2206758.718
688	2206293.086
689	2205625.477
690	2205175.616
691	2204954.516
692	2204347.221
693	2204152.282
694	2203532.269
695	2203365.218
696	2202968.122
697	2202676.632
698	2202137.549
699	2201739.099
700	2201440.698
701	2201301.439
702	2200709.841
703	2200268.593
704	2199787.19
705	2199523.665
706	2199302.516
707	2199014.919
708	2198618.12
709	2198416.846
710	2197912.035
711	2197545.836
712	2197281.554
713	2197095.591
714	2196652.432
715	2196378.185
716	2196107.584
717	2195706.083
718	2195307.922
719	2195158.332
720	2194537.118
721	2194294.376
722	2193780.938
723	2193515.456
724	2193408.302
725	2192875.741
726	2192349.896
727	2192161.732
728	2191805.02
729	2191277.801
730	2191009.806
731	2190496.824
732	2190272.046
733	2190138.496
734	2189157.313
735	2189050.514
736	2188068.156
737	2187347.489
738	2187109.405
739	2186865.616
740	2186500.769
741	2186133.574
742	2185780.115
743	2185574.578
744	2185368.571
745	2184158.285
746	2184034.685
747	2183676.055
748	2183174.993
749	2182893.778
750	2182683.391
751	2182407.188
752	2182218.19
753	2181825.194
754	2181498.844
755	2181346.436
756	2181124.267
757	2180833.116
758	2180717.966
759	2180470.207
760	2180005.544
761	2179920.446
762	2179705.246
763	2179495.985
764	2179123.806
765	2178324.482
766	2177982.899
767	2177432.98
768	2177289.17
769	2176880.366
770	2176532.43
771	2176282.063
772	2175791.468
773	2175612.621
774	2175391.833
775	2175152.338
776	2174959.907
777	2174373.633
778	2174183.302
779	2173931.85
780	2173478.439
781	2173106.912
782	2172671.247
783	2172471.788
784	2172369.187
785	2172109.714
786	2171987.912
787	2171820.5
788	2171635.298
789	2171452.202
790	2171246.07
791	2171162.29
792	2170991.775
793	2170482.423
794	2170326.969
795	2170124.917
796	2169893.462
797	2169803.715
798	2169381.097
799	2169013.264
800	2168921.502
801	2168707.432
802	2168501.907
803	2168098.796
804	2167565.848
805	2167321.938
806	2167088.623
807	2166753.224
808	2166663.947
809	2166073.084
810	2165726.301
811	2165310.675
812	2165245.833
813	2165134.959
814	2164888.317
815	2164489.839
816	2164071.798
817	2163352.584
818	2162884.899
819	2162556.957
820	2162403.385
821	2162082.049
822	2161343.352
823	2160432.466
824	2160046.047
825	2159708.042
826	2158843.569
827	2158684.186
828	2158420.962
829	2158116.039
830	2157937.785
831	2157521.402
832	2157105.374
833	2156643.291
834	2156166.788
835	2155970.402
836	2155657.799
837	2155229.905
838	2155052.343
839	2154641.525
840	2154284.723
841	2154107.552
842	2153539.337
843	2153440.732
844	2153023.444
845	2152792.443
846	2152607.985
847	2152480.862
848	2152284.155
849	2151912.106
850	2151778.882
851	2151270.289
852	2150576.226
853	2150023.046
854	2149647.918
855	2148958.701
856	2148697.568
857	2147960.242
858	2147063.154
859	2146700.927
860	2146320.949
861	2146052.421
862	2145354.92
863	2145160.22
864	2144526.632
865	2143924.017
866	2143474.223
867	2143088.003
868	2142759.963
869	2142396.707
870	2142081.249
871	2141736.928
872	2141369.636
873	2141159.414
874	2140739.04
875	2140657.109
876	2140363.486
877	2139732.362
878	2139602.075
879	2139326.4
880	2139134.54
881	2138777.694
882	2138310.396
883	2138032.067
884	2137722.953
885	2137128.975
886	2136977.643
887	2136872.573
888	2136280.883
889	2136051.48
890	2135955.297
891	2135632.367
892	2135289.187
893	2134968.954
894	2134805.982
895	2134480.773
896	2134254.713
897	2134074.419
898	2133808.887
899	2133725.203
900	2133606.096
901	2133514.524
902	2133320.927
903	2132818.848
904	2132350.283
905	2132126.79
906	2131800.286
907	2131399.841
908	2131143.099
909	2130870.718
910	2130636.88
911	2130539.719
912	2130256.778
913	2129847.494
914	2129571.69
915	2129431.119
916	2128894.291
917	2128700.722
918	2128409.789
919	2128205.654
920	2127834.829
921	2127081.541
922	2126480.279
923	2126318.799
924	2126042.694
925	2125475.094
926	2125191.682
927	2125062.246
928	2124818.695
929	2124622.335
930	2124382.463
931	2124021.828
932	2123810.353
933	2123706.996
934	2123575.719
935	2123312.382
936	2123143.857
937	2122842.64
938	2122330.832
939	2122065.742
940	2121449.426
941	2121250.263
942	2121122.652
943	2120510.94
944	2120182.074
945	2119916.483
946	2119787.735
947	2119668.943
948	2119493.133
949	2119300.829
950	2119068.667
951	2118875.974
952	2118663.092
953	2118495.636
954	2117978.768
955	2117639.668
956	2117517.445
957	2117410.791
958	2117268.138
959	2116951.196
960	2116386.127
961	2116285.68
962	2116052.071
963	2115841.778
964	2115675.322
965	2115493.358
966	2114937.784
967	2114717.409
968	2114614.11
969	2114462.652
970	2114217.218
971	2114055.667
972	2113769.683
973	2113433.006
974	2113288.844
975	2113103.5
976	2112961.755
977	2112654.215
978	2111790.135
979	2111463
980	2111031.963
981	2110511.108
982	2110123.279
983	2109657.165
984	2109421.806
985	2108997.131
986	2108831.079
987	2108063.81
988	2107776.846
989	2107394.681
990	2107112.083
991	2106780.787
992	2106428.234
993	2106220.59
994	2106117.595
995	2105877.569
996	2105680.532
997	2105437.146
998	2105118.758
999	2104948.802
